Revenue,January,February,March,April,May,June,July,August,September,October,November,December,Total
Gross Revenue,"$83,741.00 ","$83,108 ","$78,461 ","$84,993 ","$78,758 ","$178,107 ","$180,206 ","$125,557 ","$86,974 ","$80,116 ","$80,580 ","$79,902 ","$1,220,503 "
Cost of Goods Sold,"$29,568.00 ","$31,442 ","$29,623 ","$28,685 ","$28,825 ","$59,961 ","$61,528 ","$41,711 ","$31,396 ","$29,381 ","$29,302 ","$30,304 ","$431,726 "
Gross Profit ,"$54,173 ","$51,666 ","$48,838 ","$56,308 ","$49,933 ","$118,146 ","$118,678 ","$83,846 ","$55,578 ","$50,735 ","$51,278 ","$49,598 ","$788,777 "
Operating Expenses,,,,,,,,,,,,,
Research and Development,"$5,566 ","$5,604 ","$6,028 ","$5,860 ","$5,538 ","$5,861 ","$5,827 ","$5,796 ","$5,740 ","$5,949 ","$6,273 ","$5,848 ","$69,890 "
Sales and Marketing,"$4,133 ","$4,132 ","$4,148 ","$4,181 ","$4,121 ","$4,150 ","$3,880 ","$3,851 ","$4,073 ","$3,848 ","$4,136 ","$4,016 ","$48,669 "
General and Administrative,$580 ,$616 ,$575 ,$634 ,$629 ,$578 ,$574 ,$601 ,$597 ,$605 ,$567 ,$559 ,"$7,115 "
Salaries and Wages,"$28,970 ","$29,454 ","$30,632 ","$31,244 ","$29,746 ","$29,918 ","$30,974 ","$31,085 ","$30,027 ","$30,643 ","$31,072 ","$30,266 ","$364,031 "
Interest,$338 ,$328 ,$325 ,$325 ,$315 ,$323 ,$317 ,$301 ,$312 ,$324 ,$299 ,$317 ,"$3,824 "
Rent and Utilities,"$5,073 ","$4,774 ","$4,880 ","$5,050 ","$5,225 ","$4,970 ","$5,099 ","$4,783 ","$4,881 ","$5,283 ","$4,980 ","$5,277 ","$60,275 "
Other,$986 ,$950 ,$954 ,$963 ,$982 ,$992 ,$934 ,$943 ,$944 ,$995 ,"$1,020 ",$961 ,"$11,624 "
Total Operating Expenses ,"$45,646 ","$45,858 ","$47,542 ","$48,257 ","$46,556 ","$46,792 ","$47,605 ","$47,360 ","$46,574 ","$47,647 ","$48,347 ","$47,244 ","$565,428 "
Operating Income (EBIT),,,,,,,,,,,,,
Income Before Taxes,"$8,527 ","$5,808 ","$1,296 ","$8,051 ","$3,377 ","$71,354 ","$71,073 ","$36,486 ","$9,004 ","$3,088 ","$2,931 ","$2,354 ","$223,349 "
Taxes,"$1,791 ","$1,220 ",$272 ,"$1,691 ",$709 ,"$14,984 ","$14,925 ","$7,662 ","$1,891 ",$648 ,$616 ,$494 ,"$46,903 "
Net Income ,"$6,736 ","$4,588 ","$1,024 ","$6,360 ","$2,668 ","$56,370 ","$56,148 ","$28,824 ","$7,113 ","$2,440 ","$2,315 ","$1,860 ","$176,446 "
